Noeud,Degre,Clustering_lib,Triangles_lib,kCore_lib,Centralite_Degre_lib,Centralite_Proximite_lib,Centralite_Intermediarite_lib,Centralite_Vecteur_Propre_lib,Degre_man,Clustering_man,Triangles_man,kCore_man,Centralite_Degre_man,Centralite_Proximite_man,Centralite_Intermediarite_man,Centralite_Vecteur_Propre_man
1,16,0.15833333333333333,19,4,0.48484848484848486,0.5689655172413793,0.42544198226016405,0.3368473427234521,16,0.15833333333333333,19,4,0.48484848484848486,0.5689655172413793,0.42544198226016405,0.336839439696511
2,9,0.3333333333333333,12,4,0.2727272727272727,0.4852941176470588,0.05414743873550691,0.2441166329401369,9,0.3333333333333333,12,4,0.2727272727272727,0.4852941176470588,0.054147438735506905,0.24411111505564131
3,10,0.26666666666666666,12,4,0.30303030303030304,0.5689655172413793,0.134506197716425,0.30431431628944144,10,0.26666666666666666,12,4,0.30303030303030304,0.5689655172413793,0.134506197716425,0.30431124266126447
4,6,0.6666666666666666,10,4,0.18181818181818182,0.4647887323943662,0.0118066829004329,0.1932313266383369,6,0.6666666666666666,10,4,0.18181818181818182,0.4647887323943662,0.0118066829004329,0.19322619589418055
5,3,0.6666666666666666,2,3,0.09090909090909091,0.3793103448275862,0.000946969696969697,0.0693929241281839,3,0.6666666666666666,2,3,0.09090909090909091,0.3793103448275862,0.000946969696969697,0.06939031130553705
6,4,0.3333333333333333,2,3,0.12121212121212122,0.38372093023255816,0.030303030303030304,0.0720926474015885,4,0.3333333333333333,2,3,0.12121212121212122,0.38372093023255816,0.030303030303030304,0.0720898483655068
7,4,0.3333333333333333,2,3,0.12121212121212122,0.38372093023255816,0.030303030303030304,0.0720926474015885,4,0.3333333333333333,2,3,0.12121212121212122,0.38372093023255816,0.030303030303030304,0.07208984836550676
8,4,1.0,6,4,0.12121212121212122,0.44,0.0,0.15646159476406393,4,1.0,6,4,0.12121212121212122,0.44,0.0,0.15645735130621644
9,8,0.32142857142857145,9,4,0.24242424242424243,0.559322033898305,0.09324455531841896,0.2618862392238224,8,0.32142857142857145,9,4,0.24242424242424243,0.559322033898305,0.09324455531841895,0.26188721404533793
10,2,0.0,0,2,0.06060606060606061,0.44,0.0008060515873015874,0.10101438633084266,2,0.0,0,2,0.06060606060606061,0.44,0.0008060515873015871,0.10101517524824007
11,3,0.6666666666666666,2,3,0.09090909090909091,0.3793103448275862,0.000946969696969697,0.0693929241281839,3,0.6666666666666666,2,3,0.09090909090909091,0.3793103448275862,0.000946969696969697,0.06939031130553706
12,3,0.6666666666666666,2,3,0.09090909090909091,0.3793103448275862,0.0006313131313131313,0.06978458526363247,3,0.6666666666666666,2,3,0.09090909090909091,0.3793103448275862,0.0006313131313131313,0.06978193589549697
13,2,1.0,1,2,0.06060606060606061,0.3707865168539326,0.0,0.0768997190637022,2,1.0,1,2,0.06060606060606061,0.3707865168539326,0.0,0.07689716146827077
14,5,0.6,6,4,0.15151515151515152,0.5238095238095238,0.0497997583224856,0.21332863615872363,5,0.6,6,4,0.15151515151515152,0.5238095238095238,0.049799758322485586,0.21332578473170793
15,3,1.0,3,3,0.09090909090909091,0.3793103448275862,0.0,0.11716633292571724,3,1.0,3,3,0.09090909090909091,0.3793103448275862,0.0,0.1171696602389469
16,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.09542688855484309,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.09542937103252684
17,2,0.0,0,2,0.06060606060606061,0.28695652173913044,0.0006313131313131313,0.020917393963443224,2,0.0,0,2,0.06060606060606061,0.28695652173913044,0.0006313131313131313,0.020916295408616715
18,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.08428172206436801,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.08427908850207734
19,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.09542688855484309,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.09542937103252684
20,3,0.3333333333333333,1,3,0.09090909090909091,0.5076923076923077,0.03548247838020565,0.14114876345902772,3,0.3333333333333333,1,3,0.09090909090909091,0.5076923076923077,0.03548247838020565,0.14114752192756874
21,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.09542688855484309,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.09542937103252684
22,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.08428172206436801,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.08427908850207734
23,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.09542688855484309,2,1.0,1,2,0.06060606060606061,0.375,0.0,0.09542937103252684
24,5,0.5,5,3,0.15151515151515152,0.39285714285714285,0.0051530934343434346,0.14985532522493816,5,0.5,5,3,0.15151515151515152,0.39285714285714285,0.005153093434343434,0.14985963065595537
25,4,0.5,3,4,0.12121212121212122,0.38823529411764707,0.001957070707070707,0.11465463633526173,4,0.5,3,4,0.12121212121212122,0.38823529411764707,0.0019570707070707067,0.11465610412832308
26,5,0.5,5,4,0.15151515151515152,0.44594594594594594,0.012751311188811188,0.16358423480679465,5,0.5,5,4,0.15151515151515152,0.44594594594594594,0.012751311188811188,0.16358736449231465
27,3,0.6666666666666666,2,3,0.09090909090909091,0.3707865168539326,0.0006313131313131313,0.09443747862999534,3,0.6666666666666666,2,3,0.09090909090909091,0.3707865168539326,0.0006313131313131313,0.09444031170831396
28,4,0.5,3,4,0.12121212121212122,0.4583333333333333,0.007561102092352093,0.15563942957880894,4,0.5,3,4,0.12121212121212122,0.4583333333333333,0.007561102092352093,0.15564069781231202
29,4,0.5,3,4,0.12121212121212122,0.4583333333333333,0.0018161525974025974,0.16935914562738208,4,0.5,3,4,0.12121212121212122,0.4583333333333333,0.0018161525974025974,0.1693605393398376
30,3,0.6666666666666666,2,3,0.09090909090909091,0.3793103448275862,0.0009864267676767677,0.10912688481154993,3,0.6666666666666666,2,3,0.09090909090909091,0.3793103448275862,0.0009864267676767675,0.10912992321123047
31,4,0.3333333333333333,2,4,0.12121212121212122,0.4714285714285714,0.016693021309498582,0.1688334728222668,4,0.3333333333333333,2,4,0.12121212121212122,0.4714285714285714,0.016693021309498582,0.16883506384299024
32,6,0.26666666666666666,4,4,0.18181818181818182,0.5409836065573771,0.09573845504243231,0.20922727339906583,6,0.26666666666666666,4,4,0.18181818181818182,0.5409836065573771,0.0957384550424323,0.20922938070488656
33,11,0.18181818181818182,10,4,0.33333333333333337,0.5076923076923077,0.12003715192635649,0.26580175636388803,11,0.18181818181818182,10,4,0.3333333333333333,0.5076923076923077,0.12003715192635649,0.265807313447844
34,18,0.12418300653594772,19,4,0.5454545454545454,0.559322033898305,0.3260104636525092,0.39199700257112813,18,0.12418300653594772,19,4,0.5454545454545454,0.559322033898305,0.3260104636525092,0.3920040965513148
